,Suburb,Longitude,Latitude,Closest Shopping Mall,Distance to Shopping Mall,Closest Museum,Distance to Museum,Closest Zoo,Distance to Zoo
351,north warrandyte,145.21553469999998,-37.72580355,Stockland The Pines Shopping Centre,5.739649366151986,,,,
352,northcote,145.0010249,-37.77284,Northcote Plaza,0.47696938153659474,Melbourne Museum,4.27125283781497,Melbourne Zoo,4.460070624141965
353,notting hill,145.14558689999998,-37.90559651,Brandon Park Shopping Centre,1.477036764630357,Australian National Aviation Museum,9.125830938904327,Chesterfield Farm,5.774461184137784
354,nunawading,145.17652569999998,-37.81735478,Nunawading Home HQ,0.3059142386540359,,,,
355,nutfield,145.1854732,-37.60213216,Diamond Creek Shopping Station,8.293806680385538,,,,
356,oak park,144.91709699999998,-37.71761025,DFO Essendon,1.8248946111211586,Victorian Archives Centre,9.028782003010791,Melbourne Zoo,8.058074793434407
357,oaklands junction,144.8537672,-37.60540770000001,Greenvale Shopping Centre,4.518168168075578,,,,
358,oakleigh,145.0957033,-37.90067509,Oakleigh Central,0.46717933611162826,Australian National Aviation Museum,8.372093175059637,,
359,oakleigh east,145.1153419,-37.9039678,Oakleigh Central,2.2219410026722377,Australian National Aviation Museum,8.257968001428637,Chesterfield Farm,8.429851448581537
360,oakleigh south,145.09420749999998,-37.92442924,The Links,0.9869938772196879,Australian National Aviation Museum,5.7324891969807705,,
361,officer,145.4114104,-38.05427126,Lakeside Square,3.0645370097690208,,,,
362,olinda,145.38548459999998,-37.84372724,Alchester Village Shops,7.5843429229379815,,,,
363,ormond,145.04141299999998,-37.9038867,Carnegie Central Shopping Centre,2.6181598983452528,Australian National Aviation Museum,9.164017139471172,,
364,pakenham,145.4848312,-38.07343207,Pakenham Marketplace,0.4674652690152133,,,,
365,pakenham south,145.4927613,-38.13862053,Heritage Springs Shopping Centre,6.230267123623544,,,,
366,pakenham upper,145.50765619999999,-38.00777658,Lakeside Shopping Centre,7.8041364437621255,,,,
367,panton hill,145.2476744,-37.64425724,Diamond Creek Shopping Station,8.451493010516613,,,,
368,park orchards,145.21465619999998,-37.77689019,North Ringwood Shops,2.7222723625161853,,,,
369,parkdale,145.0812549,-37.99190326,Parkdale Plaza,0.6532554667417733,Australian National Aviation Museum,1.999910409777359,,
370,parkville,144.9515524,-37.78706543,Barkly Square Shopping Centre,1.5652206322182487,Melbourne Museum,2.5435305461106634,Melbourne Zoo,0.29673832703168695
371,parwan,144.444221,-37.77267974,,,,,,
372,pascoe vale,144.9379376,-37.72504773,Derby St Shops,0.807462433450137,Victorian Archives Centre,7.932237361658691,Melbourne Zoo,6.7259503710381425
373,pascoe vale south,144.9384779,-37.74343203,Bell-Melville Shopping Centre,0.8404609851696269,Victorian Archives Centre,5.892178411992946,Melbourne Zoo,4.726787042227615
374,patterson lakes,145.1432514,-38.069426299999996,Chelsea Beach Arcade,2.9703372663416148,,,,
375,pearcedale,145.2421548,-38.20158970000001,Centro Somerville,6.846905384264078,,,Moonlit Sanctuary,1.3691650463359903
376,pheasant creek,145.2745039,-37.45368374,,,,,,
377,plenty,145.1124186,-37.66741939,St. Helena Market Place,2.8561184393943067,,,,
378,plumpton,144.6908291,-37.68697935,Taylors Hill Village,5.184936597906021,,,,
379,point cook,144.7532575,-37.90648838,Sanctuary Lakes Shopping Centre,1.195246614652493,,,Werribee Open Range Zoo,7.765555714078272
380,point leo,145.0693983,-38.41501931,,,,,,
381,port melbourne,144.92225439999999,-37.83320502,DFO South Wharf,2.6226235383062466,Fox Classic Car Collection,2.6657708181039648,,
382,portsea,144.7004675,-38.32284425,Sorrento Village,4.021382770717417,Queenscliffe Maritime Museum,7.03600712969957,,
383,powelltown,145.74760419999998,-37.86246798,,,,,,
384,prahran,145.0005947,-37.8518848,Hawksburn Village,0.5150030650697944,National Herbarium,3.1286894136341115,,
385,preston,145.0078238,-37.74191979,South Preston Shopping Centre,1.1185241163155204,Melbourne Museum,7.5382634617622335,Melbourne Zoo,6.785947976704665
386,princes hill,144.9665361,-37.78185202,Barkly Square Shopping Centre,0.7912578798110703,Melbourne Museum,2.443830084862167,Melbourne Zoo,1.2642812251572029
387,ravenhall,144.7447852,-37.78792385,Derrimut Village Shopping Centre,2.412103069331467,,,,
388,red hill,145.01596,-38.36330674,Dromana Hub Shopping Centre,5.5477793087997025,,,,
389,red hill south,145.0461877,-38.40118994,,,,,,
390,research,145.1890477,-37.70658238,Eltham village,3.6377807561780973,,,,
391,reservoir,145.0069134,-37.71235511,Summerhill Shopping Centre,2.324377962216985,,,Melbourne Zoo,9.331804884407239
392,richmond,145.002492,-37.8203963,Richmond Plaza,0.4006771643795837,National Sports Museum,1.6020571741335683,,
393,riddells creek,144.6777093,-37.43828545,The Village Gisborne,9.494042915179437,,,,
394,ringwood,145.23346619999998,-37.81137062,Eastland Shopping Centre,0.45485945679640194,,,,
395,ringwood east,145.25303449999998,-37.81315599,East Ringwood Shops,0.26440214715420557,,,,
396,ringwood north,145.23119340000002,-37.79301952,North Ringwood Shops,0.4884201743299281,,,,
397,ripponlea,144.9952712,-37.87781376,Elwood Village,1.0789695183787127,National Herbarium,5.473137888877136,,
398,rockbank,144.65758730000002,-37.7250125,Melton Gateway,6.231015869344264,,,,
399,romsey,144.7283157,-37.3523401,,,,,,
400,rosanna,145.0696366,-37.73956398,Warringal Shopping Centre,1.810115463328339,,,,
401,rosebud,144.90947749999998,-38.37099603,Rosebud Beach Shopping Centre,1.7287801057219425,,,,
402,rosebud west,144.8755369,-38.37374692,Rosebud Plaza,2.0032299689488187,,,,
403,rowsley,144.34072340000003,-37.76941174,,,,,,
404,rowville,145.24480400000002,-37.92390539,Wellington Village Shopping Centre,0.7945348851019827,,,Chesterfield Farm,3.7255927848347734
405,roxburgh park,144.925567,-37.62578078,Roxburgh Park Shopping Centre,1.6197967481677134,,,,
406,rye,144.80991880000002,-38.38218183,Rosebud Plaza,7.520896675906333,,,,
407,safety beach,145.00023240000002,-38.31534002,Dromana Hub Shopping Centre,3.684453857542154,,,,
408,sandhurst,145.20868180000002,-38.08211547,Carrum Downs Regional Shopping Centre,3.0714564501448143,,,,
409,sandringham,145.01381469999998,-37.95332016,Hampton Village,2.217506370905768,Australian National Aviation Museum,7.3245489801527786,,
410,sassafras,145.3568788,-37.86780632,Ferntree Plaza,5.1517295410833075,,,,
411,scoresby,145.21828,-37.90257564,Scoresby Village,1.253066437521196,,,Chesterfield Farm,0.6313456175654545
412,seabrook,144.75867380000003,-37.88093452,Central Square Shopping Centre,1.6535246956923066,,,Werribee Open Range Zoo,9.263862273430634
413,seaford,145.138402,-38.10484716,Carrum Downs Regional Shopping Centre,4.069136441250266,,,,
414,seaholme,144.84514319999997,-37.86396261,Borrack Square,3.1775556611800018,Seaworks,5.457935448773691,,
415,seddon,144.8916288,-37.80677066,Footscray Plaza,0.8581808978040292,Victorian Archives Centre,4.621861283784501,Melbourne Zoo,5.909403410929583
416,selby,145.378423,-37.91872123,Ferntree Plaza,6.72954930655291,,,,
417,seville,145.4755313,-37.79263791,Wandin North,4.096383325573059,,,,
418,seville east,145.5031747,-37.77857591,Woori Yallock Shopping Centre,2.382391179102003,,,,
419,sherbrooke,145.3648706,-37.89120132,Ferntree Plaza,4.964180700586734,,,,
420,shoreham,145.0516917,-38.42443842,,,,,,
421,silvan,145.444445,-37.83416534,Wandin North,7.161645140721129,,,,
422,skye,145.21633830000002,-38.10503997,Carrum Downs Regional Shopping Centre,2.7937547583161164,,,,
423,smiths gully,145.2883093,-37.62698748,,,Steels Creek Community Hall,8.499077192168711,,
424,somers,145.1726183,-38.39230121,,,,,,
425,somerville,145.1981231,-38.2327704,Centro Somerville,2.659588279372609,,,Moonlit Sanctuary,5.192536439854724
426,sorrento,144.7420688,-38.34472269,Sorrento Village,0.6028443195695053,,,,
427,south kingsville,144.87103069999998,-37.83023593,Wembley Avenue Shops,1.2076885717091357,Seaworks,4.856964640683289,,
428,south melbourne,144.9569722,-37.83347256,South Melbourne Central,0.28482210513635925,Fox Classic Car Collection,1.5468102530478338,,
429,south morang,145.08365700000002,-37.63168106,Westfield Plenty Valley,2.394792979089903,,,,
430,south wharf,144.9494054,-37.825361799999996,DFO South Wharf,0.07877426481250885,Fox Classic Car Collection,0.46244413776835785,,
431,south yarra,144.9914825,-37.83920603,Como Centre,0.44064583645548444,National Herbarium,1.5730650917314102,,
432,southbank,144.9642691,-37.82527864,Crown Entertainment Complex,0.5813336436932748,Australian Music Vault,0.5588619699601554,,
433,spotswood,144.88797240000002,-37.82998945,Yarraville Square Shopping Centre,1.5606478592184345,Seaworks,4.065833190486401,,
434,springvale,145.1578294,-37.94570636,Springvale Shopping Centre,0.8014449711957484,Australian National Aviation Museum,6.688771774368121,Chesterfield Farm,6.63226435516612
435,springvale south,145.14786819999998,-37.97083566,Springvale Central,2.2074962263796847,Australian National Aviation Museum,4.936892298031011,Chesterfield Farm,9.321583278961976
436,st albans,144.8049753,-37.74509368,Keilor Shopping Centre,1.9621009706041284,,,,
437,st andrews,145.28739140000002,-37.58324285,,,Steels Creek Community Hall,7.621591361480556,,
438,st andrews beach,144.83111780000002,-38.41997245,Rosebud Plaza,8.423406473555536,,,,
439,st helena,145.12948740000002,-37.68953561,St. Helena Market Place,0.7400676810574534,,,,
440,st kilda,144.98159840000002,-37.86378606,Acland Arcade,0.5547108365967508,National Herbarium,3.701526754275497,,
441,st kilda east,145.0021447,-37.86680573,Acland Court,1.9110084921290273,National Herbarium,4.574851861260083,,
442,st kilda west,144.9712179,-37.85800942,Acland Arcade,1.3661778846445705,National Herbarium,3.087028380599875,,
443,steels creek,145.3809773,-37.57972956,,,Steels Creek Community Hall,1.4120741339267908,,
444,strathewen,145.2809373,-37.53362135,,,,,,
445,strathmore,144.9170691,-37.73329344,DFO Essendon,0.7039087268779043,Victorian Archives Centre,7.355587658726165,Melbourne Zoo,6.490107705439163
446,strathmore heights,144.89707109999998,-37.71345276,Westfield Airport West,1.0055617390356633,,,Melbourne Zoo,9.281916884808286
447,sunbury,144.71494130000002,-37.54707201,Sunbury Square Shopping Centre,3.637598372922857,,,,
448,sunshine,144.8342291,-37.78937046,Sunshine Plaza,0.7871846762214316,Victorian Archives Centre,9.565239635133544,,
449,sunshine north,144.83621530000002,-37.763981799999996,Sunshine Marketplace,2.0363945232818126,,,,
450,sunshine west,144.81108830000002,-37.79834231,The Avenue Shopping Centre,0.47185357426693686,,,,
451,surrey hills,145.0980832,-37.82688121,Maling Rd Shopping Village,1.4986577655853006,,,,
452,sydenham,144.7652467,-37.69969552,Watergardens Town Centre,0.9433689761772354,,,,
453,tarneit,144.6778781,-37.83087749,Wyndham Village Shopping Centre,3.1729124332599703,,,,
454,taylors hill,144.75284530000002,-37.71522708,Watervale Shopping Centre,0.9133399522261166,,,,
455,taylors lakes,144.7863236,-37.69868636,Watergardens Shopping Center,0.9020534641022562,,,,
456,tecoma,145.3447081,-37.90300351,Ferntree Plaza,3.3335331792618046,,,,
457,templestowe,145.1486406,-37.75405954,Stockland The Pines Shopping Centre,1.975541091412341,,,,
458,templestowe lower,145.112223,-37.76386755,Macedon Square,1.0147867704264222,,,,
459,the basin,145.3212686,-37.85566263,Alchester Village Shops,2.3086021478805336,,,,
460,the patch,145.40220300000001,-37.8918531,Ferntree Plaza,8.241590339409562,,,,
461,thomastown,145.0082605,-37.68395722,Lalor Shops,1.4201766470678372,,,,
462,thornbury,145.0050219,-37.75833155,South Preston Shopping Centre,0.8222837570853172,Melbourne Museum,5.808296606056888,Melbourne Zoo,5.458401031972621
463,three bridges,145.73168869999998,-37.85458354,,,,,,
464,toolangi,145.506707,-37.50857385,,,,,,
465,toolern vale,144.5943071,-37.61480928,Melton Gateway,8.272541519705541,,,,
466,tooradin,145.3827514,-38.20132446,,,Crystal World,8.551996670671262,,
467,toorak,145.01758049999998,-37.84162266,Toorak Place,0.6863770020168747,National Herbarium,3.7528420383023464,,
468,tootgarook,144.8501496,-38.3776792,Rosebud Plaza,4.075406920531111,,,,
469,tottenham,144.8528875,-37.80461933,Central West Shopping Centre,1.3990636057172683,Victorian Archives Centre,7.941190434629237,Melbourne Zoo,9.059850555571007
470,travancore,144.935519,-37.78080673,Union Square Shopping Centre,1.5314903383629352,Melbourne Mint,3.8999532295567145,Melbourne Zoo,1.5586952644931953
471,tremont,145.3157487,-37.87883218,Ferntree Plaza,1.8000360936572035,,,Chesterfield Farm,9.595132699496089
472,truganina,144.7344877,-37.83192348,Wyndham Village Shopping Centre,3.234099877056531,,,,
473,tuerong,145.09671830000002,-38.2986869,Bentons Square Shopping Centre,7.30979942965976,,,,
474,tullamarine,144.87178490000002,-37.70459822,Westfield Airport West,1.6179545154023323,,,,
475,tyabb,145.18718959999998,-38.26369293,Centro Somerville,4.609914489789089,,,Moonlit Sanctuary,8.035448553187384
476,upper ferntree gully,145.3098774,-37.89665097,Ferntree Plaza,0.3155150867868706,,,Chesterfield Farm,8.712565389866484
477,upper plenty,145.05475800000002,-37.41967834,Wellington Square Shopping Centre,6.797235099510578,,,,
478,upwey,145.32797119999998,-37.90519866,Ferntree Plaza,2.1120838994095856,,,,
479,vermont,145.1993105,-37.83840511,Brentford Square,1.3207150308928752,,,Chesterfield Farm,7.297354916657434
480,vermont south,145.1878296,-37.85438401,Vermont South Shopping Centre,0.3949437773002638,,,Chesterfield Farm,5.823292933679106
481,viewbank,145.09322969999997,-37.73990693,Bulleen Plaza,2.6086592799462904,,,,
482,wallan,144.95459169999998,-37.44185678,Wellington Square Shopping Centre,3.9658062681305304,,,,
483,wandin east,145.45487769999997,-37.81230725,Wandin North,4.922003408189441,,,,
484,wandin north,145.4262908,-37.78059771,Wandin North,1.6422889003263175,,,,
485,wandong,144.9786573,-37.35716213,Wellington Square Shopping Centre,6.053037391210104,,,,
486,wantirna,145.2259658,-37.85232581,Wantirna Mall,0.7486433515145641,,,Chesterfield Farm,5.823896599251139
487,wantirna south,145.2215305,-37.87406328,Westfield Knox,1.755516825036815,,,Chesterfield Farm,3.3885967535053236
488,warburton,145.7194347,-37.78082306,Yarra Junction Shopping Centre,9.388204424050521,,,,
489,warneet,145.3117368,-38.22130729,,,,,Moonlit Sanctuary,5.417791438672791
490,warrandyte,145.2091016,-37.74783013,Stockland The Pines Shopping Centre,3.875436502150822,,,,
491,warrandyte south,145.2440678,-37.75960637,McAdam Square Shopping Centre,3.4280915373726737,,,,
492,warranwood,145.250079,-37.77251619,McAdam Square Shopping Centre,2.0445889948461637,,,,
493,waterways,145.13048510000002,-38.01476439,Parkmore Shopping Centre,4.4604399239893,Australian National Aviation Museum,5.464000982785899,,
494,watsonia,145.0836607,-37.71044027,Diamond Village Shopping Centre,0.32781250455572636,,,,
495,watsonia north,145.084885,-37.69601905,Greensborough Plaza,1.7285091170455191,,,,
496,wattle glen,145.191528,-37.66999571,Diamond Creek Shopping Station,2.86191004555266,,,,
497,werribee,144.6655946,-37.89624346,Pacific Werribee,2.6293431296596452,,,Werribee Open Range Zoo,2.9068308734724964
498,werribee south,144.69769019999998,-37.936383299999996,Featherbrook Shopping Centre,4.978963561008509,,,Werribee Open Range Zoo,3.0929433781229516
499,wesburn,145.6970762,-37.69007646,,,,,,
500,west footscray,144.8710051,-37.80055536,Central West Shopping Centre,1.1855787469986145,Victorian Archives Centre,6.310164387428428,Melbourne Zoo,7.402495021796418
501,west melbourne,144.92520290000002,-37.80935015,The District Docklands,1.2098623524638263,Fox Classic Car Collection,2.4415767233066963,Melbourne Zoo,3.6620449367448216
502,westmeadows,144.89408390000003,-37.67510597,Gladstone Park Shopping Centre,1.6646113949003833,,,,
503,wheelers hill,145.18684330000002,-37.90760877,Wheelers Hill Shopping Centre,0.29919339997518385,,,Chesterfield Farm,2.189937977043887
504,whittlesea,145.13224430000002,-37.46046556,,,,,,
505,wildwood,144.8078271,-37.54725977,Sunbury Square Shopping Centre,7.659569663572142,,,,
506,williams landing,144.74945269999998,-37.86180275,Williams Landing Shopping Centre,0.8207360703642324,,,Werribee Open Range Zoo,9.874492035530832
507,williamstown,144.8920898,-37.86157992,Williamstown Shopping Precinct,0.597637111932215,Seaworks,1.340246165563551,,
508,williamstown north,144.8670081,-37.85307815,Borrack Square,2.67555587684162,Seaworks,3.711726521946606,,
509,willowmavin,144.887584,-37.22408888,,,,,,
510,windsor,144.9921845,-37.85447083,Pran Central Shopping Centre,0.8046529232033547,National Herbarium,2.9554664265722104,,
511,wollert,145.0009082,-37.59659678,Craigieburn Plaza,5.475218017777982,,,,
512,wonga park,145.2697986,-37.73568023,Chirnside Park Shopping Centre,4.502753046502875,,,,
513,woodend,144.52637140000002,-37.36235872,,,,,,
514,woodend north,144.528661,-37.31580803,,,,,,
515,woodstock,145.0290999,-37.54255029,,,,,,
516,woori yallock,145.5365847,-37.78797777,Woori Yallock Shopping Centre,1.1184797567447777,,,,
517,wyndham vale,144.5409938,-37.84152825,Manor Lakes Central,7.538472658463039,,,,
518,yallambie,145.09350569999998,-37.72515069,Diamond Village Shopping Centre,1.5774797919496062,,,,
519,yan yean,145.12857,-37.54603601,Laurimar Town Centre,6.157768482206943,,,,
520,yannathan,145.6438841,-38.22526288,,,,,Moonlit Sanctuary,9.86792041278199
521,yarra glen,145.381526,-37.64682216,,,Steels Creek Community Hall,6.2587598904617705,,
522,yarra junction,145.626452,-37.79614994,Woori Yallock Shopping Centre,8.6826635520732,,,,
523,yarrambat,145.13484230000003,-37.63753591,Diamond Creek Shopping Station,4.58784052721049,,,,
524,yarraville,144.88184760000001,-37.8180019,Yarraville Square Shopping Centre,0.1255953983046944,Seaworks,5.500496414053531,,
525,yellingbo,145.5290878,-37.84600952,Woori Yallock Shopping Centre,7.40876146705708,,,,
526,yuroke,144.8798729,-37.58362055,Craigieburn Central,3.1909817570675307,,,,
